School Name,Score
University of Cambridge,100
Harvard University,99.18
Yale University,98.68
UCL (University College London),98.54
Massachusetts Institute of Technology (MIT),98.19
University of Oxford,98.16
Imperial College London,97.78
University of Chicago,97.52
California Institute of Technology (Caltech),96.46
Princeton University,96.03
Columbia University,95.99
University of Pennsylvania,95.97
Stanford University,93.62
Duke University,92.29
University of Michigan,92.2
Cornell University,90.44
Johns Hopkins University,89.67
ETH Zurich (Swiss Federal Institute of Technology),89.28
McGill University,89.25
Australian National University,88.58
Kings College London (University of London),88.45
University of Edinburgh,88.01
University of Hong Kong,87.28
The University of Tokyo,86.74
Kyoto University,85.89
Northwestern University,85.4
University of Bristol,85.22
"University of California, Berkeley (UCB)",85.18
University of Toronto,84.29
The University of Manchester,83.33
National University of Singapore (NUS),82.78
Ecole Polytechnique Fédérale de Lausanne,82.27
"École Normale Supérieure, Paris",82.09
Carnegie Mellon University,81.8
"University of California, Los Angeles (UCLA)",81.49
École Polytechnique,81.33
The University of Sydney,81.31
The University of Melbourne,80.64
Brown University,80.54
The Hong Kong University of Science and Technology,78.67
New York University (NYU),78.41
The Chinese University of Hong Kong,77.94
The University of Queensland,77.56
University of British Columbia,77.41
University of Copenhagen,76.71
The University of New South Wales,76.66
Peking University,76.35
University of Wisconsin-Madison,76.28
Osaka University,76.21
Seoul National University,76.06
Ruprecht-Karls-Universität Heidelberg,75.89
Trinity College Dublin,75.04
The University of Warwick,74.28
Tsinghua University,74.18
University of Washington,73.75
University of Amsterdam,73.45
"University of North Carolina, Chapel Hill",73.22
Technische Universität München,72.99
University of Birmingham,72.68
Tokyo Institute of Technology,72.59
Monash University,72.54
Uppsala University,72.16
University of Illinois at Urbana-Champaign,71.75
Boston University,71.73
"University of California, San Diego (UCSD)",71.55
Ludwig-Maximilians-Universität München,71.25
University of Texas at Austin,71.24
The University of Auckland,71.13
The University of Sheffield,70.76
Freie Universität Berlin,70.55
University of Geneva,70.53
Lund University,70.38
The University of Nottingham,69.95
Nanyang Technological University (NTU),69.77
University of Helsinki,69.64
Washington University in St. Louis,69.64
University of Glasgow,69.54
University of Alberta,69.3
KAIST - Korea Advanced Institute of Science & Technology,69.05
London School of Economics and Political Science (LSE),68.86
University of Southampton,68.85
Leiden University,68.81
Utrecht University,68.77
Aarhus University,68.55
University of Leeds,68.08
Katholieke Universiteit Leuven,67.56
Purdue University,67.54
University of York,67.37
The University of Western Australia,66.95
Dartmouth College,66.86
Nagoya University,66.41
Durham University,66.29
Lomonosov Moscow State University,66.12
National Taiwan University (NTU),66.03
University of St Andrews,65.69
University of Minnesota,65.58
Universität Freiburg,65.11
Pennsylvania State University,64.91
Erasmus University Rotterdam,64.48
University of Oslo,64.21
University of Zurich,64.04
Tohoku University,63.96
The University of Adelaide,63.87
"University of Maryland, College Park",63.72
Fudan University,63.44
Georgia Institute of Technology,63.34
Emory University,63.15
Delft University of Technology,63.14
Hebrew University of Jerusalem,63.11
"University of California, Davis",62.85
Maastricht University,62.77
Pohang University of Science And Technology (POSTECH),62.75
University of Southern California,62.66
University College Dublin,62.42
Rice University,61.52
"University of California, Santa Barbara (UCSB)",61.37
University of Aberdeen,61.3
Université Pierre et Marie Curie (UPMC),60.5
University of Pittsburgh,60.37
University of Groningen,60.34
University of Liverpool,59.5
Cardiff University,59.47
Humboldt-Universität zu Berlin,59.3
Université Catholique de Louvain (UCL),59.08
Ohio State University,59.05
Eindhoven University of Technology,58.52
Case Western Reserve University,58.42
University of Rochester,58.42
City University of Hong Kong,58.38
University of Virginia,58.3
Eberhard Karls Universität Tübingen,58.19
Queen's University,58.17
University of Bergen,57.92
Vanderbilt University,57.24
University of Otago,57.08
Universite de Montreal,56.87
University of Basel,56.68
Tel Aviv University,56.44
École Normale Supérieure de Lyon,56.2
Newcastle University,56.06
Technical University of Denmark,55.63
Yonsei University,55.51
University of Vienna,55.27
University of Bath,55.25
University of Waterloo,54.73
"University of California, Irvine",54.68
"Queen Mary, University of London (QMUL)",54.47
University of Barcelona,54.28
Radboud University Nijmegen,54.2
"KTH, Royal Institute of Technology",53.73
Shanghai Jiao Tong University,53.68
University of Lausanne,53.37
Kyushu University,53.32
University of Science and Technology of China,53.25
Georgetown University,53.11
University of Sussex,53.08
Tufts University,52.69
Rheinisch-Westfälische Technische Hochschule Aachen,52.58
Technion - Israel Institute of Technology,52.38
University of Arizona,52.35
University of Cape Town,51.98
University of Bern,51.85
McMaster University,51.85
The University of Western Ontario,51.83
University of Calgary,51.74
The Hong Kong Polytechnic University,51.67
Universität Karlsruhe,51.67
Stockholm University,51.51
University of Leicester,51.5
University of Colorado at Boulder,51.47
VU University Amsterdam,51.43
University of Tsukuba,51.42
Universitat Autònoma de Barcelona,51.26
Georg-August-Universität Göttingen,51.23
Hokkaido University,51.06
University of Bologna,50.85
Nanjing University,50.63
Wageningen University,50.35
University of Antwerp,50.26
Chulalongkorn University,50.21
Lancaster University,50.2
Waseda University,50.12
University of Gothenburg,50.1
University College Cork,50.07
